huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,cdl_year,row_crop,pasture,forest,urban,other
070400080407,Camp Creek,704000804,5,4,3.5,0.0,4,25.0,20.0,3,0,1,0,0,0,0,2023,52.0,24.0,19.0,4.7,0.4
070400030603,East Indian Creek,704000306,8,8,3.5,0.0,7,43.0,25.0,3,0,0,0,0,0,0,2023,28.3,22.9,43.9,3.6,1.1
070400040505,Long Creek,704000405,12,12,3.5,0.0,12,100.0,83.0,0,0,0,0,0,0,0,2023,60.5,19.1,15.9,4.0,0.3
070400010702,Pine Creek,704000107,57,47,3.4,0.0,54,0.0,0.0,2,0,0,0,0,1,1,2023,49.1,12.7,31.5,5.4,1.4
070400010401,Hay Creek,704000104,74,65,3.3,3.0,68,84.0,61.0,2,0,1,1,2,0,0,2023,39.7,20.5,29.0,9.6,1.2
070400080107,Mill Creek,704000801,18,16,3.3,0.0,18,33.0,28.0,1,0,1,0,0,0,0,2023,44.9,33.7,14.2,6.9,0.3
070400030309,Trout Creek,704000303,6,5,3.2,0.0,6,67.0,67.0,3,0,1,0,0,0,0,2023,20.6,23.6,52.2,2.7,0.9
070400060502,City of La Crosse-Mississippi River,704000605,21,5,3.2,0.0,3,100.0,14.0,0,0,0,3,1,0,1,2023,0.5,2.6,15.4,36.2,45.2
070400071203,Douglas Creek,704000712,8,7,3.0,12.0,8,238.0,88.0,1,0,0,0,0,0,1,2023,34.9,15.4,43.9,5.0,0.8
070400030102,South Fork of the Buffalo River,704000301,5,5,3.0,0.0,4,50.0,40.0,0,0,0,0,0,0,1,2023,23.0,11.6,52.1,6.3,7.0
070600020403,Trout Creek,706000204,10,4,2.8,0.0,7,114.0,60.0,2,0,0,0,0,0,0,2023,49.7,31.9,12.5,5.5,0.3
070400030404,Eagle Creek,704000304,5,4,2.8,0.0,2,0.0,0.0,0,0,0,0,0,0,1,2023,23.8,15.2,55.6,3.9,1.6
070400010505,Brush Creek-Rush River,704000105,42,23,2.8,0.0,25,40.0,19.0,2,0,0,0,0,0,0,2023,34.7,27.0,32.5,5.0,0.8
070600010203,Clear Creek-Crooked Creek,706000102,12,12,2.8,0.0,12,0.0,0.0,0,0,0,0,0,0,0,2023,6.7,32.6,53.8,3.8,3.0
070600040606,Honey Creek-Volga River,706000406,14,14,2.8,0.0,12,42.0,36.0,8,0,0,1,1,0,1,2023,21.3,37.6,36.1,3.8,1.3
070600040608,Doe Creek-Volga River,706000406,12,12,2.8,0.0,10,40.0,25.0,8,0,1,0,0,0,3,2023,21.7,34.8,38.4,3.6,1.4
070400020803,Lower Belle Creek,704000208,11,8,2.6,9.0,11,82.0,73.0,1,0,0,0,0,0,0,2023,52.1,17.5,24.0,5.3,1.0
070400010301,Goose Creek-Trimbelle River,704000103,42,25,2.5,0.0,35,9.0,5.0,1,0,0,0,0,0,1,2023,26.9,33.7,32.8,5.9,0.8
070300051008,Bass Lake-Willow River,703000510,5,2,2.5,0.0,4,100.0,40.0,1,0,0,0,0,0,0,2023,16.1,31.6,28.9,18.1,5.3
070500051101,Nugget Lake-Plum Creek,705000511,24,17,2.5,0.0,22,18.0,12.0,0,0,0,0,0,0,2,2023,43.5,17.2,32.6,5.4,1.3
070400020702,Middle Little Cannon River,704000207,7,5,2.4,14.0,6,100.0,57.0,3,0,0,0,2,0,0,2023,50.7,17.0,26.4,4.9,1.0
070400030602,Snake Creek,704000306,6,6,2.3,0.0,6,33.0,17.0,2,0,0,0,0,0,0,2023,23.2,22.2,35.4,4.7,14.4
070102060703,Saint Anthony Falls-Mississippi River,701020607,7,6,2.3,14.0,4,25.0,14.0,0,0,0,0,0,0,0,2023,0.1,1.0,0.9,93.9,4.0
070300051103,South Fork Kinnickinnic River,703000511,51,43,2.2,0.0,47,66.0,14.0,14,2,0,2,6,0,2,2023,20.5,35.0,30.1,13.5,0.9
